id;paperTitle;area;authorID;corrAuthorID;publicationID;venueId;reviewer_1;reviewer_2;review_1;review_2;paperType;paperAbstract;decisions_1;decisions_2;year;url
1462;Can_acute_high_altitude_sickness_be_predicted_in_advance;Data Management;8003,8004,8005,8006,8007,8008;8006;12914;11242;P__Hurtado;W__Bortcosh;Adult_very_well_Push_fish_film_ask_include_provide__Capital_myself_tonight_western_much__Buy_week_grow_four_lead_without_down_lot_;Adult_pick_five_environment_party__Bill_adult_phone_along_feeling_stay_Relationship_commercial_green_now__Miss_place_summer_let_election_personal_send_cell_;FullPaper;Abstract_In_high_altitude_environments__the_oxygen_and_air_density_are_decreased__and_the_temperature_and_humidity_are_low__When_individuals_enter_high_altitude_areas__they_are_prone_to_suffering_from_acute_mountain_sickness_AMS_because_they_cannot_tolerate_hypoxia__Headache__fatigue__dizziness__and_gastrointestinal_reactions_are_the_main_symptoms_of_AMS__When_these_symptoms_cannot_be_effectively_alleviated__they_can_progress_to_life_threatening_high_altitude_pulmonary_edema_or_high_altitude_cerebral_edema__If_the_risk_of_AMS_can_be_effectively_assessed_before_people_enter_high_altitude_areas__then_the_high_risk_population_can_be_promptly_discouraged_from_entering_the_area__or_drug_intervention_can_be_established_in_advance_to_prevent_AMS_occurrence_and_avoid_serious_outcomes__This_article_reviews_recent_studies_related_to_the_early_warning_biological_indicators_of_AMS_to_provide_a_new_perspective_on_the_prevention_of_AMS_;Yes;Yes;2022;https://www.semanticscholar.org/paper/11b60341785330211c1668397816de586d069a6a
1461;Effects_of_Acute_Exposure_and_Acclimatization_to_High_Altitude_on_Oxygen_Saturation_and_Related_Cardiorespiratory_Fitness_in_Health_and_Disease;Data Management;8001,8002,7910;8002;12087;10910;S__Mukherjee;Jingjing_Wang;Property_decade_art_certainly_music_democratic_Congress__Beautiful_water_garden__Arm_understand_few_charge_;Water_personal_throughout_simply_treat_success__Cultural_sure_bag_child_dinner_everyone__Ground_think_professor_lead_;ShortPaper;Maximal_values_of_aerobic_power_VO2max_and_peripheral_oxygen_saturation_SpO2max_decline_in_parallel_with_gain_in_altitude__Whereas_this_relationship_has_been_well_investigated_when_acutely_exposed_to_high_altitude__potential_benefits_of_acclimatization_on_SpO2_and_related_VO2max_in_healthy_and_diseased_individuals_have_been_much_less_considered__Therefore__this_narrative_review_was_primarily_aimed_to_identify_relevant_literature_reporting_altitude_dependent_changes_in_determinants__in_particular_SpO2__of_VO2max_and_effects_of_acclimatization_in_athletes__healthy_non_athletes__and_patients_suffering_from_cardiovascular__respiratory_and/or_metabolic_diseases__Moreover__focus_was_set_on_potential_differences_with_regard_to_baseline_exercise_performance__age_and_sex__Main_findings_of_this_review_emphasize_the_close_association_between_individual_SpO2_and_VO2max__and_demonstrate_similar_altitude_effects_acute_and_during_acclimatization_in_healthy_people_and_those_suffering_from_cardiovascular_and_metabolic_diseases__However__in_patients_with_ventilatory_constrains__i_e___chronic_obstructive_pulmonary_disease__steep_decline_in_SpO2_and_V̇O2max_and_reduced_potential_to_acclimatize_stress_the_already_low_exercise_performance__Finally__implications_for_prevention_and_therapy_are_briefly_discussed_;Yes;Yes;2022;https://www.semanticscholar.org/paper/42f7beeeaf3293796349d101cf3d8b35fab8e6ee
1460;Temporary_hypoxemia_at_high_altitude_in_an_intensive_care_unit_physician;Data Management;8000;8000;null;11309;G__De_Angelis;R__Melendreras_Ruiz;Pressure_central_treat_traditional_eight_better_marriage__Pay_throughout_lot_research__Me_by_with_kid_late_along_economic_;Lot_near_medical_her__Clear_discuss_born_front_remember_Back_must_state_only__Blue_hair_he_second_relate__Southern_part_within_Mrs_pull_;ShortPaper;A_42_year_old_pediatric_intensive_care_unit_physician_traveled_to_Nepal_and_took_a_helicopter_trip_to_Everest_Base_Camp__The_helicopter_reached_an_altitude_of_5500 m_during_flight_and_descended_at_different_destinations_with_varying_altitudes__At_Hotel_Everest_View_at_3820 m__his_oxygen_saturation_was_79__He_had_mild_tachypnea_and_deep_breathing_but_was_able_to_walk_around__jump__and_take_photographs__He_returned_to_Kathmandu_altitude__1324 m_without_using_any_supplemental_oxygen_during_the_entire_trip__Based_on_calculations_with_the_alveolar_gas_equation__he_observed_that_he_and_his_fellow_passengers_probably_had_hypoxemia_during_the_trip__In_summary__temporary_hypoxemia_associated_with_high_altitude_in_healthy_individuals_without_cardiorespiratory_compromise_may_not_require_oxygen_therapy__In_contrast__intensive_care_unit_patients_who_have_respiratory_failure_may_have_similar_oxygen_saturation_levels_but_may_require_oxygen_therapy_and_mechanical_ventilation__The_oxygen_saturation_level_must_be_interpreted_in_consideration_of_the_clinical_scenario_before_deciding_about_the_need_for_oxygen_therapy_;Yes;No;2023;https://www.semanticscholar.org/paper/6e222e32d307c2017787f7cd4b5627f7e87fc6c7
1459;Molecular_Mechanisms_of_High_Altitude_Acclimatization;Data Management;7994,7995,7996,7997,7998,7999,7910;7995;null;12579;S__Gil;D__Dellweg;Remember_institution_research_thank_meeting_cell__Friend_tonight_above_beyond_price_soon_some__Eat_hospital_serious_put_base_Series_professor_exist_leave__Either_best_put_movie_seem_;Eye_interview_pull_especially_face_whether_citizen_people__Surface_note_politics_firm_data_area_reduce_Send_first_take_hit_job_good__Company_consumer_herself_chair_pick_;FullPaper;High_altitude_illnesses_HAIs_result_from_acute_exposure_to_high_altitude/hypoxia__Numerous_molecular_mechanisms_affect_appropriate_acclimatization_to_hypobaric_and/or_normobaric_hypoxia_and_curtail_the_development_of_HAIs__The_understanding_of_these_mechanisms_is_essential_to_optimize_hypoxic_acclimatization_for_efficient_prophylaxis_and_treatment_of_HAIs__This_review_aims_to_link_outcomes_of_molecular_mechanisms_to_either_adverse_effects_of_acute_high_altitude/hypoxia_exposure_or_the_developing_tolerance_with_acclimatization__After_summarizing_systemic_physiological_responses_to_acute_high_altitude_exposure__the_associated_acclimatization__and_the_epidemiology_and_pathophysiology_of_various_HAIs__the_article_focuses_on_molecular_adjustments_and_maladjustments_during_acute_exposure_and_acclimatization_to_high_altitude/hypoxia__Pivotal_modifying_mechanisms_include_molecular_responses_orchestrated_by_transcription_factors__most_notably_hypoxia_inducible_factors__and_reciprocal_effects_on_mitochondrial_functions_and_REDOX_homeostasis__In_addition__discussed_are_genetic_factors_and_the_resultant_proteomic_profiles_determining_these_hypoxia_modifying_mechanisms_culminating_in_successful_high_altitude_acclimatization__Lastly__the_article_discusses_practical_considerations_related_to_the_molecular_aspects_of_acclimatization_and_altitude_training_strategies_;No;Yes;2023;https://www.semanticscholar.org/paper/0399235ae3ec234e97c40347f2344037616c4229
1458;Determining_Candidate_Hypobaric_Hypoxia_Profiles_for_Humane_Killing_of_Laboratory_Mice;Data Management;7988,7989,7990,7991,7992,7993;7988;null;11308;Xi_Chen;H__Coskun;Indeed_oil_relationship_serve__Goal_determine_move_near_tonight_view_need__Soldier_candidate_act_computer_final_one_strong_until_Again_any_improve_push_two_conference_development_;Suddenly_line_agent_learn_where_finally_plan__But_husband_before_especially_man_argue_human_help__Environment_civil_long_red_to_;ShortPaper;Millions_of_mice_are_used_annually_in_scientific_research_and_must_be_humanely_killed__Despite_significant_welfare_concerns__carbon_dioxide_exposure_remains_the_most_common_killing_method__primarily_because_there_is_no_practical_and_humane_alternative__We_explored_whether_hypobaric_hypoxia_via_gradual_decompression_could_induce_a_non_recovery_state_in_anesthetized_male_C57BL/6_and_Balb/c_laboratory_mice__We_aimed_to_determine_if_this_was_possible_in_a_feasible_timescale_with_minimal_pathological_consequences__as_a_proof_of_principle_step__Systematic_evaluation_of_two_decompression_rates_75__150_ms−1_and_three_profile_shapes_accelerated__linear__gradual_in_a_factorial_design_revealed_that_hypobaric_hypoxia_effectively_induced_a_non_recovery_state_in_anesthetized_laboratory_mice__irrespective_of_decompression_rate_and_shape__Mice_took_longer_to_reach_a_non_recovery_state_with_the_75_ms−1_decompression_rate_75_ms−1:257_±_8_96_vs__150_ms−1:214_±_7_26_s__with_longer_latencies_in_gradual_and_linear_shaped_profiles__Accelerated_shaped_profiles_were_least_susceptible_to_meaningful_refinement_via_rate__The_only_pathological_changes_of_concern_were_moderate_middle_ear_congestion_and_hemorrhage__These_findings_suggest_that_hypobaric_hypoxia_has_potential__and_subsequent_work_will_evaluate_the_welfare_consequences_of_gradual_decompression_in_conscious_mice__to_identify_decompression_profiles_that_minimize_welfare_harms_associated_with_ear_barotrauma_;No;Yes;2022;https://www.semanticscholar.org/paper/19e0c857753713185495d8b3d1b3299923270eec
1457;Acute_high‐altitude_hypoxia_exposure_causes_neurological_deficits_via_formaldehyde_accumulation;Data Management;7981,7982,7983,7984,7985,7986,7987;7985;12911;11161;E__Ford;M__Dold;Born_since_owner_outside_quality_away__Use_region_teacher_matter_All_into_boy_after_Money_score_growth_shake_big__Budget_Republican_return_part_each__Others_no_first_civil_;Instead_provide_book_store_people__High_decide_huge_guess_growth__Know_quickly_the_cut_See_will_box_start_think_start__Early_player_country_small_spend__Team_check_natural_why_employee_set_a_;DemoPaper;Acute_high‐altitude_hypoxia_exposure_causes_multiple_adverse_neurological_consequences__However__the_exact_mechanisms_are_still_unclear__and_there_is_no_targeted_treatment_with_few_side_effects__Excessive_cerebral_formaldehyde_FA_impairs_numerous_functions__and_can_be_eliminated_by_nano‐packed_coenzyme_Q10_CoQ10_;Yes;Yes;2022;https://www.semanticscholar.org/paper/99593fafa38f61248a1f4dfe53026f23d33759c2
1456;Hyperventilation_and_Hypoxia_Hangover_During_Normobaric_Hypoxia_Training_in_Hawk_Simulator;Data Management;7977,7978,7979,7980;7978;12908;12511;M__Kato;O__Akanmu;Note_interview_class_seem_chance__Wish_hundred_society_yes_share_anyone_whatever_;Assume_magazine_method_son_organization__Find_drug_page_wife__Owner_Mr_recent_nothing_statement_bank_despite_lay__Try_rather_stop_by_shoulder_;DemoPaper;Introduction:In_military_aviation_during_high_altitude_operations__an_oxygen_or_cabin_pressure_emergency_can_impair_brain_function_and_performance__There_are_variations_in_individuals_physiological_responses_to_low_partial_pressure_of_oxygen_and_hypoxia_symptoms_can_vary_from_one_exposure_to_another__The_aim_of_this_study_was_to_evaluate_how_normobaric_hypoxia_NH_affects_pilots_minute_ventilation_and_10_min_afterwards_on_Instrument_Landing_System_ILS_flight_performance_in_Hawk_simulator_during_a_tactical_flight_sortie__Methods:Fifteen_volunteer_fighter_pilots_from_the_Finnish_Air_Force_participated_in_this_double_blinded__placebo_controlled_and_randomized_study__The_subjects_performed_three_flights_in_a_tactical_Hawk_simulator_in_a_randomized_order_with_full_flight_gear__regulators_and_masks_on__In_the_middle_of_the_flight_without_the_subjects_knowledge__21_control__8_or_6_oxygen_in_nitrogen_was_turned_on__Minute_ventilation_VE_was_measured_before__during_NH_and_after_NH__Forehead_peripheral_oxygen_saturation_SpO2__wireless_ECG_and_subjective_symptoms_were_documented__The_flights_were_conducted_so_that_both_subjects_and_flight_instructors_were_blinded_to_the_gas_mixture__The_pilots_performed_tactical_maneuvers_at_simulated_altitude_of_20_000_ft_or_26_000_ft_until_they_recognized_the_symptoms_of_hypoxia__Thereafter_they_performed_hypoxia_emergency_procedures_with_100_oxygen_and_returned_to_base_RTB__During_the_ILS_approach__flight_performance_was_evaluated__Results:The_mean_VE_increased_during_NH_from_12_9_L/min_21_O2_on_the_control_flight_to_17_8_L/min_with_8_oxygen_p__0_01__and_to_21_0_L/min_with_6_oxygen_p__0_01__Ten_minutes_after_combined_hyperventilation_and_hypoxia__the_ILS_flight_performance_decreased_from_4_4_control_flight_to_4_0_with_8_oxygen_p_=_0_16_and_to_3_2_with_6_oxygen_p__0_01__A_significant_correlation_r_=__0_472_was_found_between_the_subjects_VE_during_6_oxygen_exposure_and_the_ILS_flight_performance__Discussion:Hyperventilation_during_NH_has_a_long_lasting_and_dose_dependent_effect_on_the_pilots_ILS_flight_performance__even_though_the_hypoxia_emergency_procedures_are_executed_10_min_earlier__Hyperventilation_leads_to_body_loss_of_carbon_dioxide_and_hypocapnia_which_may_even_worsen_the_hypoxia_hangover_;Yes;Yes;2022;https://www.semanticscholar.org/paper/64c505d537f10eb4f573d7fee1f8a18d7660d175
1455;Effects_of_Long_Term_Exposure_to_2260_m_Altitude_on_Working_Memory_and_Resting_State_Activity_in_the_Prefrontal_Cortex:A_Large_Sample_Cross_Sectional_Study;Data Management;7969,7970,7971,7972,7973,7974,7975,7976;7972;12910;10947;Z__Kasemy;Kyungjae_Hong;Water_else_little_art_nearly_must_determine__Treat_leave_nor_understand_money_suddenly_church_Mr_new_through__Reflect_want_key_themselves_rather_often_check_;Whose_specific_board_one_generation_available__Operation_capital_hotel_admit__Herself_strong_form_list_Want_mean_move_then_;DemoPaper;It_has_been_well_established_that_very_high_altitude_4000_m_environments_can_affect_human_cognitive_function_and_brain_activity__However__the_effects_of_long_term_exposure_to_moderate_altitudes_2000–3000_m_on_cognitive_function_and_brain_activity_are_not_well_understood__In_the_present_cross_sectional_study__we_utilized_an_N_back_working_memory_task_and_resting_state_functional_near_infrared_spectroscopy_to_examine_the_effects_of_two_years_of_exposure_to_2260_m_altitude_on_working_memory_and_resting_state_brain_activity_in_208_college_students__compared_with_a_control_group_at_the_sea_level__The_results_showed_that_there_was_no_significant_change_in_spatial_working_memory_performance_after_two_years_of_exposure_to_2260_m_altitude__In_contrast__the_analysis_of_resting_state_brain_activity_revealed_changes_in_functional_connectivity_patterns_in_the_prefrontal_cortex_PFC__with_the_global_efficiency_increased_and_the_local_efficiency_decreased_after_two_years_of_exposure_to_2260_m_altitude__These_results_suggest_that_long_term_exposure_to_moderate_altitudes_has_no_observable_effect_on_spatial_working_memory_performance__while_significant_changes_in_functional_connectivity_and_brain_network_properties_could_possibly_occur_to_compensate_for_the_effects_of_mild_hypoxic_environments__To_our_knowledge__this_study_is_the_first_to_examine_the_resting_state_activity_in_the_PFC_associated_with_working_memory_in_people_exposed_to_moderate_altitudes_;Yes;Yes;2022;https://www.semanticscholar.org/paper/46c6bdc5eed10d1cb531eb5456b9eef33bda2281
1454;Hypoxia_and_risk_preferences:Mild_hypoxia_impacts_choices_for_low_probability_high_payoff_bets;Data Management;7963,7964,7965,7966,7967,7968;7967;12908;11141;R__Gold;J__Muñoz;Send_wrong_argue__Option_cold_use_pull_rather_Its_woman_message__Big_dream_newspaper_early_New_fear_think_very_break_example_clear__Physical_fall_they_reflect_;Similar_reflect_concern_partner_structure_consider__Third_often_dream_instead__Name_in_provide_character_When_culture_science_finish_site_onto__Try_day_prove_plan_;ShortPaper;Mild_degrees_of_hypoxia_are_known_to_exert_a_detrimental_effect_on_cognitive_functions__In_a_lab_study__we_assessed_the_effect_of_mild_hypoxia_on_risk_taking_behavior__Participants_N_=_25_were_presented_with_pairs_of_bets_of_equal_expected_monetary_value__one_having_a_higher_probability_of_winning/losing_a_lower_payoff_safer_bet_and_one_having_a_lower_probability_of_winning/losing_a_higher_payoff_riskier_bet__We_systematically_varied_the_ratio_of_the_probabilities_and_corresponding_payoffs_of_the_two_bets_and_examined_how_this_affected_participants_choice_between_them__Following_a_familiarization_session__participants_performed_the_task_twice:once_in_a_normoxic_environment_20_9_oxygen_concentration_and_once_in_a_mildly_hypoxic_environment_14_1_oxygen_concentration__Participants_were_not_told_and_could_not_guess_which_environment_they_were_in__We_found_a_higher_preference_for_the_riskier_bet_in_the_mild_hypoxic_than_normoxic_environment_but_only_in_the_loss_domain__Furthermore__as_the_probability_ratio_increased__mild_hypoxia_increased_the_preference_for_the_riskier_bet_in_the_domain_of_losses_but_decreased_it_for_gains__The_present_findings_support_that_mild_hypoxia_promotes_riskier_choices_in_the_loss_domain_and_provide_new_insights_into_the_impact_of_mild_hypoxia_in_moderating_the_effect_of_probability_ratio_on_risky_choices_;Yes;Yes;2022;https://www.semanticscholar.org/paper/ff112646c50032bffff5315cbbe3e37983e7ba72
1453;Resetting_Proteostasis_of_CIRBP_with_ISRIB_Suppresses_Neural_Stem_Cell_Apoptosis_under_Hypoxic_Exposure;Data Management;7954,7955,7956,7957,7958,7959,7960,7961,7962;7962;null;12354;E__Woitrain;R__Welch;Turn_over_room_region__Growth_think_give_reach_fire_possible_several_Alone_successful_method_cultural_fish_sea_more__Start_middle_assume_up_worker_despite_us__Technology_hard_might_form_red_;Meeting_those_difficult_sister__Third_market_source_add_vote_film_out_Street_later_oil_color_later_popular__Whole_happen_art_national__Billion_ahead_too_yet_into_option_democratic_;ShortPaper;Neurological_disorders_are_often_progressive_and_lead_to_disabilities_with_limited_available_therapies__Epidemiological_evidence_implicated_that_prolonged_exposure_to_hypoxia_leads_to_neurological_damage_and_a_plethora_of_complications__Neural_stem_cells_NSCs_are_a_promising_tool_for_neurological_damage_therapy_in_terms_of_their_unique_properties__However__the_literature_on_the_outcome_of_NSCs_exposed_to_severe_hypoxia_is_scarce__In_this_study__we_identified_a_responsive_gene_that_reacts_to_multiple_cellular_stresses__marked_cold_inducible_RNA_binding_protein_CIRBP__which_could_attenuate_NSC_apoptosis_under_hypoxic_pressure__Interestingly__ISRIB__a_small_molecule_modulator_of_the_PERK_ATF4_signaling_pathway__could_prevent_the_reduction_and_apoptosis_of_NSCs_in_two_steps:enhancing_the_expression_of_CIRBP_through_the_protein_kinase_R__PKR__like_endoplasmic_reticulum_kinase_PERK_and_activating_transcription_factor_4_ATF4_axis__Taken_together__CIRBP_was_found_to_be_a_critical_factor_that_could_protect_NSCs_against_apoptosis_induced_by_hypoxia__and_ISRIB_could_be_acted_upstream_of_the_axis_and_may_be_recruited_as_an_open_potential_therapeutic_strategy_to_prevent_or_treat_hypoxia_induced_brain_hazards_;No;Yes;2022;https://www.semanticscholar.org/paper/614bb3a4c93dde41c019e523642090a119ac092c
