id;area;publication;venueType;conferenceType;editor;url;name;chair;issn;periodicity
10899;Big Data,Data Management;null;Journal;null;Alyssa_Gillespie;http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-157693;International_Journal_of_Molecular_Sciences;null;1422-0067;Monthly
10898;Data Management;null;Journal;null;Susan_Andrade;http://yujm.yu.ac.kr/;Yeungnam_University_Journal_of_Medicine;null;1225-7737;Monthly
10891;Data Management;null;Journal;null;Katelyn_Ayala;http://cadernos.ensp.fiocruz.br/csp/index.php;Cadernos_de_Saúde_Pública;null;0102-311X;Weekly
10890;Data Management;null;Journal;null;Ryan_Lamb;https://journals.lww.com/jbjsjournal/pages/aboutthejournal.aspx;JBJS_Reviews;null;2329-9185;Yearly
10893;Data Management;null;Journal;null;Sharon_Garcia;http://www.jdentaled.org/;Journal_of_Dental_Education;null;0022-0337;Monthly
10892;Computer Science;null;Journal;null;Wayne_Woodward;https://www.journals.elsevier.com/journal-of-dental-sciences/;Journal_of_Dental_Sciences;null;1991-7902;Monthly
10895;Computer Science;null;Journal;null;Maxwell_Miles;https://www.springer.com/public+health/journal/10903;Journal_of_Immigrant_and_Minority_Health;null;1557-1912;Yearly
10894;Materials Science;null;Journal;null;Becky_Green;https://www.journals.elsevier.com/japanese-dental-science-review;Japanese_Dental_Science_Review;null;1882-7616;Monthly
10897;Data Management;null;Journal;null;Rachel_Lee;http://www.biomedcentral.com/bmcoralhealth/;BMC_Oral_Health;null;1472-6831;Monthly
10896;Computer Science;null;Journal;null;David_Casey;http://www.mdpi.com/journal/ijerph/;International_Journal_of_Environmental_Research_and_Public_Health;null;1660-4601;Monthly
12605;Big Data,Data Management;null;Journal;null;Destiny_Hoffman;https://www.journals.elsevier.com/prostaglandins-and-other-lipid-mediators;Prostaglandins__other_lipid_mediators;null;1098-8823;Monthly
12606;Big Data,Data Management;null;Journal;null;Andrew_Snyder;http://www.idealibrary.com/links/toc/cimm;Cellular_Immunology;null;0008-8749;Weekly
12603;Data Management;null;Journal;null;Kaylee_Olson;http://www.mdconsult.com/;Critical_Care_Nursing_Clinics_of_North_America;null;0899-5885;Yearly
12604;Data Management;null;Journal;null;Courtney_Brady;https://www.springer.com/medicine/surgery/journal/464;Surgical_Endoscopy;null;0930-2794;Yearly
12607;Data Management;null;Journal;null;Brenda_Riley;https://link.springer.com/journal/345;World_journal_of_urology;null;0724-4983;Yearly
12608;Big Data,Data Management;null;Journal;null;Robert_Walker;https://www.physiology.org/journal/ajpregu;American_Journal_of_Physiology__Regulatory_Integrative_and_Comparative_Physiology;null;0363-6119;Yearly
12601;Data Management;null;Journal;null;Elizabeth_Brown;https://onlinelibrary.wiley.com/journal/14764431;Journal_of_Veterinary_Emergency_and_Critical_Care;null;1476-4431;Weekly
12602;Big Data,Data Management;null;Journal;null;Angela_Hawkins_PhD;http://www.sciencedirect.com/science/journal/01656147;TIPS___Trends_in_Pharmacological_Sciences;null;0165-6147;Weekly
12600;Computer Science;null;Journal;null;Scott_Yoder;http://www.interscience.wiley.com/jpages/0303-4569/;Andrologia;null;0303-4569;Monthly
10877;Computer Science;null;Journal;null;Kellie_Lee;http://www.jfsf.eu/;Journal_of_Frailty__Sarcopenia_and_Falls;null;2459-4148;Yearly
10876;Data Management,Big Data;null;Journal;null;Jennifer_Castillo;https://www.journals.elsevier.com/clinics-in-podiatric-medicine-and-surgery;Clinics_in_Podiatric_Medicine_and_Surgery;null;0891-8422;Monthly
10879;Data Management;null;Journal;null;Garrett_Harmon;http://ageing.oxfordjournals.org/;Age_and_Ageing;null;0002-0729;Yearly
10878;Data Management;null;Journal;null;Christopher_Delacruz;https://bmjopen.bmj.com/;BMJ_Open;null;2044-6055;Weekly
10871;Data Management;null;Journal;null;Jeffrey_Wilcox;https://trialsjournal.biomedcentral.com/;Trials;null;1745-6215;Weekly
10870;Computer Science;null;Journal;null;Mary_George;http://www.biomedcentral.com/bmcgeriatr/;BMC_Geriatrics;null;1471-2318;Weekly
10873;Data Management,Data Processing;null;Journal;null;Angela_Sanchez;http://www.elsevier.com/wps/find/journaldescription.cws_home/623088/description#description;Geriatric_Nursing;null;0197-4572;Monthly
10872;Data Processing,Data Management;null;Journal;null;Anne_Ortiz;http://www.blackwell-synergy.com/Journals/issuelist.asp?journal=jgs;Journal_of_The_American_Geriatrics_Society;null;0002-8614;Yearly
10875;Data Management;null;Journal;null;Gregory_Hale;http://www.biomedcentral.com/bmcresnotes/;BMC_Research_Notes;null;1756-0500;Weekly
10874;Data Management;null;Journal;null;Kayla_Chavez;https://www.journals.elsevier.com/medical-engineering-and-physics/;Medical_Engineering_and_Physics;null;1350-4533;Weekly
10888;Data Management;null;Journal;null;Karen_Gilbert;;Early_Intervention_in_Psychiatry;null;1751-7885;Weekly
10887;Data Management;null;Journal;null;Brett_Waller;http://www.elsevier.com/locate/schres;Schizophrenia_Research;null;0920-9964;Monthly
10889;Data Management;null;Journal;null;Bryan_Taylor;http://www.sciencedirect.com/science/journal/00028177;The_Journal_of_the_American_Dental_Association_1939;null;0002-8177;Monthly
10880;Data Management;null;Journal;null;Jessica_Davis;http://www.elsevier.com/wps/find/journaldescription.cws_home/623364/description#description;Clinics_in_Geriatric_Medicine;null;0749-0690;Yearly
10882;Data Management;null;Journal;null;Timothy_Estrada;http://www.cochranelibrary.com/cochrane-database-of-systematic-reviews/index.html;Cochrane_Database_of_Systematic_Reviews;null;1361-6137;Yearly
10881;Data Management;null;Journal;null;Jeremy_Cole;http://www.sciencedirect.com/science/journal/03785122;Maturitas;null;0378-5122;Monthly
10884;Big Data,Data Management;null;Journal;null;Jonathan_Hughes;http://www.peerj.com/;PeerJ;null;2167-8359;Weekly
10883;Data Management;null;Journal;null;Melissa_Peters;http://www.jclinrheum.com/;Clinical_Rheumatology;null;0770-3198;Monthly
10886;Data Management;null;Journal;null;Mrs__Holly_Benjamin;http://schizophreniabulletin.oxfordjournals.org/;Schizophrenia_bulletin;null;1787-9965;Weekly
10885;Data Management;null;Journal;null;Robert_Torres;https://academic.oup.com/ptj/issue;Physical_Therapy;null;0031-9023;Weekly
10855;Data Management;null;Journal;null;Scott_Odonnell;http://www.annalsofintensivecare.com/;Annals_of_Intensive_Care;null;2110-5820;Yearly
10854;Geography,Data Management;null;Journal;null;Cassie_Munoz;https://journals.plos.org/plosone/;PLoS_ONE;null;1932-6203;Weekly
10857;Data Management;null;Journal;null;Mario_Burnett;http://neoreviews.aapjournals.org/;NeoReviews;null;1526-9906;Monthly
10856;Data Management;null;Journal;null;Joseph_Stewart;;Saudi_Medical_Journal;null;0379-5284;Monthly
10859;Data Management;null;Journal;null;Madison_Brown;http://www.ijaweb.org/;Indian_Journal_of_Anaesthesia;null;0019-5049;Monthly
10858;Computer Science;null;Journal;null;Carol_Mays;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1754;Journal_of_Paediatrics_and_Child_Health;null;1034-4810;Weekly
10851;Data Management;null;Journal;null;Kimberly_Lopez;http://journals.lww.com/md-journal;Medicine;null;0025-7974;Weekly
10850;Data Management;null;Journal;null;Kevin_Rodriguez;http://www.biomedcentral.com/bmcanesthesiol/;BMC_Anesthesiology;null;1471-2253;Monthly
10853;Data Management;null;Journal;null;Craig_Harrington;http://www.elsevier.com/locate/thromres;Thrombosis_Research;null;0049-3848;Monthly
10852;Data Management;null;Journal;null;William_Brooks;https://www.springer.com/medicine/radiology/journal/247;Pediatric_Radiology;null;0301-0449;Monthly
10866;Data Management;null;Journal;null;Steven_Berry;http://www.co-pediatrics.com/pt/re/copeds/home.htm;jsessionid=LDvS3CwLH7QjPVQQpvYC0GHHDb7CCLWnpKq8sYLfkhBlknv2tTJx!-1990489359!181195628!8091!-1;Current_opinion_in_pediatrics;null;1040-8703;Weekly
10865;Data Management;null;Journal;null;Hector_Sherman;https://link.springer.com/journal/40477;Journal_of_Ultrasound;null;1876-7931;Weekly
10868;Data Management;null;Journal;null;Eric_Cox;https://casereports.bmj.com/;BMJ_Case_Reports;null;1757-790X;Monthly
10867;Data Management;null;Journal;null;Mary_Rhodes;http://content.iospress.com/journals/journal-of-pediatric-intensive-care/;Journal_of_Pediatric_Intensive_Care;null;2146-4626;Monthly
10869;Data Management;null;Journal;null;Christopher_Potts;http://www.jfootankleres.com/;Journal_of_Foot_and_Ankle_Research;null;1757-1146;Weekly
10860;Data Management;null;Journal;null;Derek_Cooley;http://imr.sagepub.com/;Journal_of_International_Medical_Research;null;0300-0605;Yearly
10862;Data Management;null;Journal;null;Tracey_Rogers;http://www.elsevier.com/wps/find/journaldescription.cws_home/266/description#description;International_Journal_of_Nursing_Studies;null;0020-7489;Weekly
10861;Data Management;null;Journal;null;Erin_Jordan;http://gateway.ovid.com/ovidweb.cgi?AN=00004848-000000000-00000&D=ovft&MODE=ovid&NEWS=n&PAGE=toc&T=JS;Infection_control_and_hospital_epidemiology;null;0899-823X;Monthly
10864;Data Management;null;Journal;null;Deanna_Cox;http://www.sciencedirect.com/science/journal/00070912;British_Journal_of_Anaesthesia;null;0007-0912;Weekly
10863;Data Management;null;Journal;null;Stacey_Smith;http://pediatric.theclinics.com/;The_Pediatric_clinics_of_North_America;null;0031-3955;Yearly
10829;Data Management;null;Journal;null;Katrina_Guerra;http://www.jncqjournal.com/;Journal_of_Nursing_Care_Quality;null;1057-3631;Monthly
10833;Data Management;null;Journal;null;Amy_Gonzalez;https://ccforum.biomedcentral.com/;Critical_Care;null;1574-4280;Weekly
10832;Computer Science;null;Journal;null;Christopher_Goodman;https://www.sciencedirect.com/journal/seminars-in-pediatric-surgery;Seminars_in_Pediatric_Surgery;null;1055-8586;Weekly
