id;area;publication;venueType;conferenceType;editor;url;name;chair;issn;periodicity
10899;Geography,Data Management;null;Journal;null;Alyssa_Gillespie;http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-157693;International_Journal_of_Molecular_Sciences;null;1422-0067;Yearly
10898;Data Management;null;Journal;null;Susan_Andrade;http://yujm.yu.ac.kr/;Yeungnam_University_Journal_of_Medicine;null;1225-7737;Weekly
10891;Data Management;null;Journal;null;Katelyn_Ayala;http://cadernos.ensp.fiocruz.br/csp/index.php;Cadernos_de_Saúde_Pública;null;0102-311X;Monthly
10890;Data Management;null;Journal;null;Ryan_Lamb;https://journals.lww.com/jbjsjournal/pages/aboutthejournal.aspx;JBJS_Reviews;null;2329-9185;Monthly
10893;Big Data,Data Management;null;Journal;null;Sharon_Garcia;http://www.jdentaled.org/;Journal_of_Dental_Education;null;0022-0337;Weekly
10892;Data Management;null;Journal;null;Wayne_Woodward;https://www.journals.elsevier.com/journal-of-dental-sciences/;Journal_of_Dental_Sciences;null;1991-7902;Weekly
10895;Data Management;null;Journal;null;Maxwell_Miles;https://www.springer.com/public+health/journal/10903;Journal_of_Immigrant_and_Minority_Health;null;1557-1912;Yearly
10894;Data Management;null;Journal;null;Becky_Green;https://www.journals.elsevier.com/japanese-dental-science-review;Japanese_Dental_Science_Review;null;1882-7616;Yearly
10897;Data Management;null;Journal;null;Rachel_Lee;http://www.biomedcentral.com/bmcoralhealth/;BMC_Oral_Health;null;1472-6831;Yearly
10896;Data Management,Computer Science;null;Journal;null;David_Casey;http://www.mdpi.com/journal/ijerph/;International_Journal_of_Environmental_Research_and_Public_Health;null;1660-4601;Monthly
12605;Big Data,Data Management;null;Journal;null;Destiny_Hoffman;https://www.journals.elsevier.com/prostaglandins-and-other-lipid-mediators;Prostaglandins__other_lipid_mediators;null;1098-8823;Yearly
12606;Computer Science;null;Journal;null;Andrew_Snyder;http://www.idealibrary.com/links/toc/cimm;Cellular_Immunology;null;0008-8749;Monthly
12603;Computer Science;null;Journal;null;Kaylee_Olson;http://www.mdconsult.com/;Critical_Care_Nursing_Clinics_of_North_America;null;0899-5885;Weekly
12604;Data Management;null;Journal;null;Courtney_Brady;https://www.springer.com/medicine/surgery/journal/464;Surgical_Endoscopy;null;0930-2794;Weekly
12607;Data Management;null;Journal;null;Brenda_Riley;https://link.springer.com/journal/345;World_journal_of_urology;null;0724-4983;Yearly
12608;Big Data,Data Management;null;Journal;null;Robert_Walker;https://www.physiology.org/journal/ajpregu;American_Journal_of_Physiology__Regulatory_Integrative_and_Comparative_Physiology;null;0363-6119;Yearly
12601;Data Management;null;Journal;null;Elizabeth_Brown;https://onlinelibrary.wiley.com/journal/14764431;Journal_of_Veterinary_Emergency_and_Critical_Care;null;1476-4431;Monthly
12602;Big Data,Data Management;null;Journal;null;Angela_Hawkins_PhD;http://www.sciencedirect.com/science/journal/01656147;TIPS___Trends_in_Pharmacological_Sciences;null;0165-6147;Monthly
12600;Data Management;null;Journal;null;Scott_Yoder;http://www.interscience.wiley.com/jpages/0303-4569/;Andrologia;null;0303-4569;Monthly
10877;Psychology,Data Management;null;Journal;null;Kellie_Lee;http://www.jfsf.eu/;Journal_of_Frailty__Sarcopenia_and_Falls;null;2459-4148;Yearly
10876;Environmental Science;null;Journal;null;Jennifer_Castillo;https://www.journals.elsevier.com/clinics-in-podiatric-medicine-and-surgery;Clinics_in_Podiatric_Medicine_and_Surgery;null;0891-8422;Yearly
10879;Data Management;null;Journal;null;Garrett_Harmon;http://ageing.oxfordjournals.org/;Age_and_Ageing;null;0002-0729;Yearly
10878;null;null;Journal;null;Christopher_Delacruz;https://bmjopen.bmj.com/;BMJ_Open;null;2044-6055;Monthly
10871;Data Management;null;Journal;null;Jeffrey_Wilcox;https://trialsjournal.biomedcentral.com/;Trials;null;1745-6215;Weekly
10870;Big Data,Data Management;null;Journal;null;Mary_George;http://www.biomedcentral.com/bmcgeriatr/;BMC_Geriatrics;null;1471-2318;Weekly
10873;Data Management;null;Journal;null;Angela_Sanchez;http://www.elsevier.com/wps/find/journaldescription.cws_home/623088/description#description;Geriatric_Nursing;null;0197-4572;Monthly
10872;Data Management;null;Journal;null;Anne_Ortiz;http://www.blackwell-synergy.com/Journals/issuelist.asp?journal=jgs;Journal_of_The_American_Geriatrics_Society;null;0002-8614;Weekly
10875;Data Management;null;Journal;null;Gregory_Hale;http://www.biomedcentral.com/bmcresnotes/;BMC_Research_Notes;null;1756-0500;Yearly
10874;Materials Science,Data Management;null;Journal;null;Kayla_Chavez;https://www.journals.elsevier.com/medical-engineering-and-physics/;Medical_Engineering_and_Physics;null;1350-4533;Monthly
10888;Data Management;null;Journal;null;Karen_Gilbert;;Early_Intervention_in_Psychiatry;null;1751-7885;Yearly
